Ticket_Loc,Issue_Date,Issue_Time,Route,Badge_Numb,Issue_Agen,Violation_,Violation1,Fine_Amt,Plate_Type,License_St,Vehicle_Ma,Vehicle_Co,Vehicle_St,Comment,Street_Num,Street_Nam,Lat,Long
2 ATLANTIC AVE,02/25/2015 12:00:00 AM,7:32:00 AM,TOW,830,1,324,B - BUS STOP/STAND,100,,ME,MERC,4,4D,,2,ATLANTIC AVE,,
77 N WASHINGTON ST,02/27/2015 12:00:00 AM,7:39:00 AM,TOW,830,1,38,LOADING ZONE,55,PA,MA,MERZ,8,4D,,77,N WASHINGTON ST,,
*AT MDC RINK / 2ND AVE,02/23/2015 12:00:00 AM,8:23:00 AM,A02,T02,1,20,NO PARKING,55,PA,MA,ALFA,2,4D,,0,*AT MDC RINK,,
*AT PUBLIC ALLEY: / *AT MDC RINK,02/23/2015 12:00:00 AM,8:29:00 AM,A04,T02,1,20,NO PARKING,55,PA,MA,AMC,1,2D,,0,*AT PUBLIC ALLEY:,,
*AT PUBLIC LOT / E BROADWAY,02/26/2015 12:00:00 AM,3:09:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,VOLK,8,4D,GREEN SIGNS,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/25/2015 12:00:00 AM,2:52:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,BMW,1,4D,GREEN SIGNS,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/25/2015 12:00:00 AM,5:01:00 PM,SB,218,1,323,EXPIRED INSPECTION,40,PA,MA,HOND,8,4D,EXP: 01/15,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/24/2015 12:00:00 AM,2:59:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,JEEP,1,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/27/2015 12:00:00 AM,5:01:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,KIA,1,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/24/2015 12:00:00 AM,5:09:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,FORD,4,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/24/2015 12:00:00 AM,5:10:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,HOND,8,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/24/2015 12:00:00 AM,3:03:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,TOYT,8,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/26/2015 12:00:00 AM,5:23:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,NISS,7,4D,,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/24/2015 12:00:00 AM,5:08:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,FORD,8,4D,GREEN SIGNS,0,*AT PUBLIC LOT,,
*AT PUBLIC LOT / E BROADWAY,02/25/2015 12:00:00 AM,2:48:00 PM,SB,218,1,329,OVER POST LIM-ZONE B,25,PA,MA,VOLK,8,4D,GREEN SIGNS,0,*AT PUBLIC LOT,,
